datetime,temp,tempmax,tempmin,precip,humidity
2023-04-28,28.5,34.1,24.0,1.5,38.7
2023-04-29,27.9,32.4,24.7,0.0,41.6
2023-04-30,25.9,29.3,23.0,0.076,55.2
2023-05-01,21.7,24.6,20.0,3.858,88.9
2023-05-02,23.4,27.1,21.0,1.1,82.4
2023-05-03,23.0,29.7,20.3,16.577,83.8
2023-05-04,24.8,31.0,19.0,0.0,68.9
2023-05-05,28.1,33.1,22.6,0.0,54.7
2023-05-06,28.8,35.0,23.0,0.0,47.0
2023-05-07,29.7,37.0,24.5,1.465,42.8
2023-05-08,29.4,35.7,23.4,0.0,49.8
2023-05-09,30.4,37.0,23.0,0.0,32.7
2023-05-10,30.6,36.5,24.0,0.0,21.4
2023-05-11,31.5,38.4,23.9,0.0,25.9
2023-05-12,33.3,41.4,24.5,0.0,24.3
2023-05-13,33.8,40.0,26.0,0.0,28.6
2023-05-14,33.8,40.0,28.9,0.0,28.4
2023-05-15,34.0,41.0,27.0,0.0,25.7
2023-05-16,33.5,39.1,28.0,0.0,28.4
2023-05-17,33.3,40.1,28.6,0.0,30.8
2023-05-18,29.9,36.5,24.0,2.692,48.2
2023-05-19,32.1,38.0,25.1,0.0,38.4
2023-05-20,33.9,40.0,26.6,0.0,29.8
2023-05-21,36.1,42.5,27.9,0.0,23.6
2023-05-22,37.4,44.0,30.9,0.0,22.8
2023-05-23,37.0,44.0,32.0,0.0,22.7
2023-05-24,30.0,33.3,26.0,0.0,44.8
2023-05-25,28.5,35.5,22.0,16.914,51.5
2023-05-26,28.2,33.0,23.0,0.0,50.8
2023-05-27,27.3,33.3,20.0,18.895,64.1
2023-05-28,29.9,34.0,25.3,0.0,59.3
2023-05-29,27.0,34.0,23.0,2.632,66.9
2023-05-30,27.2,34.6,22.0,19.832,66.9
2023-05-31,25.1,30.2,22.0,4.368,80.6
2023-06-01,26.1,31.1,22.0,0.2,72.0
2023-06-02,28.6,33.5,22.9,0.0,52.3
2023-06-03,30.5,35.0,25.6,0.0,47.3
2023-06-04,29.6,33.6,25.0,0.912,57.7
2023-06-05,31.8,37.5,26.0,0.0,50.4
2023-06-06,31.5,38.0,24.0,0.102,45.1
2023-06-07,32.5,38.1,26.4,0.0,37.0
2023-06-08,34.2,39.8,28.0,0.0,31.8
2023-06-09,33.9,40.3,29.0,0.0,39.3
2023-06-10,34.5,41.4,29.3,0.0,38.0
2023-06-11,32.8,38.0,27.0,0.873,47.5
2023-06-12,35.0,40.0,29.0,0.0,43.5
2023-06-13,36.6,41.2,31.7,0.0,37.6
2023-06-14,35.3,40.3,30.0,0.0,38.4
2023-06-15,33.5,37.0,29.0,0.0,42.7
2023-06-16,32.1,38.6,28.0,12.965,53.8
2023-06-17,32.5,37.2,29.7,1.491,60.5
2023-06-18,31.3,35.0,29.0,2.983,66.2
2023-06-19,28.6,33.0,26.0,7.508,80.2
2023-06-20,31.5,36.0,27.0,2.982,66.9
2023-06-21,30.9,36.0,26.0,0.373,71.1
2023-06-22,32.4,36.0,29.0,0.254,67.3
2023-06-23,32.8,36.5,27.0,30.675,69.8
2023-06-24,32.3,36.2,30.0,0.0,68.7
2023-06-25,26.4,30.0,24.9,40.052,93.2
2023-06-26,28.7,31.0,26.0,5.966,86.6
2023-06-27,29.5,33.6,26.0,1.297,86.5
2023-06-28,29.4,34.1,27.0,10.44,85.3
2023-06-29,28.8,32.6,24.7,21.0,87.4
2023-06-30,28.4,32.0,25.0,9.104,89.8
2023-07-01,29.5,33.0,26.9,0.0,83.0
2023-07-02,30.7,35.2,27.0,0.0,76.7
2023-07-03,32.9,37.1,29.0,0.0,69.6
2023-07-04,31.0,35.4,26.0,10.491,79.7
2023-07-05,29.7,33.4,26.0,15.44,87.3
2023-07-06,28.3,30.0,26.0,7.22,92.0
2023-07-07,29.6,32.6,27.0,0.0,84.7
2023-07-08,27.3,29.0,26.0,54.703,97.2
2023-07-09,27.0,30.0,26.0,66.6,97.5
2023-07-10,27.5,31.0,26.0,2.781,96.1
2023-07-11,28.5,32.1,26.0,2.237,88.9
2023-07-12,29.3,32.0,27.0,0.478,88.3
2023-07-13,29.6,32.3,27.0,0.509,88.3
2023-07-14,29.4,32.5,27.0,7.457,89.6
2023-07-15,29.5,33.0,26.0,16.728,87.1
2023-07-16,28.9,33.0,26.9,7.254,88.9
2023-07-17,30.4,33.0,28.0,0.0,86.1
2023-07-18,29.3,32.0,28.0,2.014,92.1
2023-07-19,30.8,34.4,28.0,0.0,82.5
2023-07-20,32.7,36.5,29.0,0.2,70.4
2023-07-21,33.1,36.6,30.0,0.0,71.9
2023-07-22,32.0,35.0,29.0,0.0,77.2
2023-07-23,32.1,35.4,29.0,0.051,72.1
